Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
73.0,0.926,-0.3581,1.3767,1.9008,-1.0577,0.3019,-0.4623,0.2504,1.254,-0.4364,-0.6813,1.0,-0.6532,-0.6364,-1.7027,-1.2804,0.9876,-1.4788,-0.0436,-0.1241,-0.3476,-0.6768,0.1006,0.596,0.3221,-0.5475,0.0788,0.0438,70.6,0
76.0,-1.0246,0.5223,1.7877,0.2027,-1.1408,-0.1378,-0.3366,0.6707,0.0717,-0.519,0.6871,0.249,-1.2486,0.3435,-0.2363,0.5287,-0.2913,0.8475,0.1295,-0.279,0.3159,0.8476,0.1489,0.5498,-0.5851,0.3258,-0.0689,0.0597,50.0,0
76.0,-0.9972,0.2284,1.7153,-0.4201,0.5608,0.5647,0.846,0.1975,-0.0972,-0.4393,1.3091,0.8597,-0.4764,-0.1424,-0.9749,-0.6069,0.0054,-1.0,-0.7741,0.2443,-0.0702,0.0154,0.0727,-0.2723,-0.0877,0.1381,0.1259,-0.063,86.43,0
77.0,-1.1657,1.4853,0.1564,0.9244,0.1317,0.997,-0.1671,1.2626,-0.5848,-0.5534,0.138,0.6908,-0.4205,0.9788,1.0978,-1.9126,1.781,-2.1205,-1.0235,-0.3211,0.3148,1.0466,0.1564,-0.6281,-0.7024,-0.224,0.1454,0.1164,11.83,0
77.0,-1.186,-0.2188,1.101,-1.407,1.2618,-0.3377,1.1917,-0.4274,0.2767,-0.2154,-0.943,-0.4737,0.0616,-0.4101,0.7544,0.2834,-0.9057,-0.7385,-0.4543,0.037,-0.3628,-0.4188,0.5214,-0.9224,-0.1398,0.7098,-0.0762,-0.3839,49.95,0
80.0,-3.0077,0.9295,-0.4237,-1.393,0.0822,-0.5158,0.1047,0.8253,0.3855,0.064,-1.2931,0.0622,0.2711,0.3281,0.7241,0.6384,-0.4301,-0.7236,-0.5628,-0.1517,-0.4092,-0.5888,0.068,-0.8909,-0.0476,0.7176,-0.0541,-0.4243,39.95,0
91.0,1.2761,0.2115,0.143,0.3701,0.1547,-0.0323,-0.003,-0.0389,0.0307,-0.1219,-0.6678,0.4168,0.8914,0.128,1.2958,0.2338,-0.4751,-0.7729,-0.1644,-0.0687,-0.2797,-0.7477,0.0568,-0.7595,0.2716,0.1748,-0.0108,0.0081,1.98,0
110.0,-0.5919,0.1113,0.6991,-1.5361,1.1932,0.6489,0.7967,0.0169,0.7897,-1.2462,0.5553,1.089,0.3618,-0.0215,1.4339,-2.6271,1.1768,-2.1577,-0.5671,-0.1763,0.206,1.2162,0.0934,-0.9003,-0.424,-0.6079,0.0177,-0.0767,13.95,0
118.0,1.4311,-0.6481,-0.3317,-1.2074,-0.0128,0.7044,-0.7321,0.1831,-0.8783,0.7679,0.0574,-0.5915,0.0045,0.0481,0.4424,1.5311,-0.3251,-0.7243,1.0998,0.1008,0.1127,0.2223,-0.2446,-1.6882,0.6098,-0.0884,0.0104,-0.0145,20.0,0
128.0,1.2395,-0.1826,0.1551,-0.9289,-0.7462,-1.2356,-0.0617,-0.1252,0.9849,-0.7466,1.5635,0.8901,-0.9852,0.7787,1.017,-0.4295,-0.3358,0.6147,0.7031,-0.1604,0.1461,0.4811,-0.14,0.5383,0.7107,-0.6214,0.0369,0.011,8.8,0
135.0,-0.5419,0.9077,0.9418,0.9937,0.8447,0.3603,0.7617,-0.2225,0.1797,0.408,-2.0619,-0.7199,-0.367,-0.2865,0.1807,-0.5935,-0.2507,0.23,1.6337,0.1461,-0.2031,-0.1229,-0.4385,-0.9964,0.0938,-0.2163,0.0154,-0.0385,23.57,0
158.0,-0.6008,0.9225,-0.136,-1.2599,2.4398,3.3302,0.0871,0.9497,-0.3279,0.0617,-0.1574,-0.2332,-0.0533,0.2211,1.0571,0.5056,-0.8997,0.0818,0.3575,0.348,-0.3115,-0.9272,-0.0453,0.9796,0.0164,0.091,0.3713,0.1802,1.79,0
158.0,-0.16,-0.6116,2.0814,-1.0481,-1.0835,0.2544,-0.7829,0.264,0.4045,-0.2323,-2.0932,0.4651,0.6505,-1.5145,-2.535,-1.7868,0.2915,0.8519,-0.5646,-0.5102,-0.3654,-0.1279,0.1632,0.1042,-1.2868,0.7476,0.2418,0.2371,10.0,0
179.0,-0.4311,0.8908,1.7205,-0.2382,0.2733,-0.9702,1.2499,-0.4837,-0.8712,-0.3457,-0.0094,0.1683,0.7152,0.0179,1.0317,-0.3802,-0.0435,-0.8575,1.1674,0.2905,-0.4126,-1.112,-0.0577,0.4301,-0.0633,0.7238,-0.2107,-0.1611,27.99,0
180.0,1.294,-0.7628,0.1112,-0.5354,-1.1344,-0.9377,-0.4776,-0.0417,-0.6857,0.8014,0.9961,-0.9609,-2.4206,0.4775,-0.6902,0.7739,0.5788,-0.9447,1.0305,-0.0224,0.2116,0.432,-0.157,0.5261,0.6393,-0.0912,-0.0349,-0.0027,48.0,0
183.0,-0.5981,1.2641,1.4103,1.6952,0.3917,0.1926,1.1182,-0.0506,-1.717,0.4574,0.8558,0.594,0.8217,0.1895,-0.5306,0.7526,-1.0119,0.3791,-0.4358,-0.0154,0.1425,0.3179,-0.1991,0.0143,0.1506,-0.0157,-0.0716,0.0344,75.83,0
192.0,-0.3513,1.1838,0.5308,0.5439,0.7984,-0.8045,1.5632,-0.9358,0.6336,2.3036,1.3989,-0.3187,-1.4106,-0.1552,0.278,-0.7062,-0.7801,0.3541,0.6187,0.5964,-0.1218,0.6681,-0.0574,0.3014,-0.7309,-0.5386,-0.0372,-0.48,1.79,0
204.0,-0.1884,0.8776,-0.7347,-0.9134,1.9418,4.0374,-1.7071,-2.5376,-0.5903,-0.763,-0.154,0.2525,-0.2799,0.8836,1.0839,0.8266,-0.7246,-0.0008,-0.0011,0.5434,-0.8241,-1.0423,0.1683,0.9639,0.8878,0.1712,0.0123,0.1645,1.98,0
205.0,1.1824,0.0595,0.3107,0.8288,0.3412,1.1126,-0.2928,0.2874,0.2683,-0.0876,0.1513,1.3159,0.9305,-0.1382,-0.5218,0.0951,-0.6263,-0.1741,0.4885,-0.0615,-0.3378,-0.7768,-0.0565,-1.357,0.4758,-0.5465,0.063,0.008,12.99,0
206.0,-0.3706,0.5998,0.2167,-0.5131,2.6971,3.8828,0.2955,0.8501,-0.2972,0.192,-0.9255,-0.3694,-0.3778,-0.4938,-1.4813,0.6844,-1.0482,-0.2567,-0.8599,0.1139,-0.1479,-0.1762,-0.1206,1.0423,-0.3917,0.6754,0.1636,-0.005,10.27,0
211.0,-0.2478,-0.2827,1.6534,-1.0149,-0.6804,0.8864,-0.5382,0.378,-1.2309,0.5225,0.6052,-0.9242,-0.3632,-0.142,1.12,1.1904,0.1764,-0.1066,1.5986,0.3737,0.5457,1.401,-0.134,-0.8108,-0.3485,0.093,0.1656,0.1304,70.0,0
235.0,-0.6635,-0.0444,1.0293,-2.4981,-1.3501,-0.7988,-0.5811,0.481,-2.517,0.9618,0.6562,-0.7599,-0.5226,0.2133,-0.7828,0.1105,0.1922,0.6958,-0.5692,-0.3579,-0.0519,0.0708,0.0393,0.2758,-0.3303,-0.4239,0.252,0.134,25.0,0
244.0,-1.1189,-0.0714,2.8078,1.0257,-0.1007,0.5087,0.6203,-0.2131,0.333,-0.0749,-0.3459,-0.2325,-0.1622,-0.6985,1.2458,-0.5142,-0.0517,-0.1228,0.2169,0.1013,-0.0458,0.4556,0.1709,0.0762,0.1976,-0.2867,-0.2305,-0.4051,100.37,0
259.0,-1.5695,-1.9321,1.2492,-4.4342,1.2443,0.4027,-0.6496,0.5348,0.8862,-1.2756,1.5253,1.287,-0.3038,-0.1493,0.5145,-3.1331,0.4716,0.1104,-2.3211,-0.1789,-0.0747,0.3974,0.199,-1.386,-0.142,-0.984,0.2741,-0.0198,55.45,0
260.0,1.0267,-0.6617,0.8976,0.1444,-1.1052,0.0202,-0.7073,0.1959,0.7434,-0.1189,0.7413,0.6033,-0.4216,-0.0429,0.0904,0.6947,-0.5901,0.5722,0.3297,0.1127,0.1507,0.3224,-0.1547,0.0977,0.1746,1.1032,-0.0607,0.0166,99.0,0
271.0,1.1962,0.2452,0.6319,0.6429,-0.4131,-0.6997,0.0195,-0.1125,-0.0471,-0.1227,0.372,0.7944,0.6744,0.2002,1.2119,-0.1055,-0.0509,-1.1516,-0.6031,-0.1095,-0.2039,-0.5336,0.2019,0.4069,0.1161,0.1027,-0.0091,0.0197,0.89,0
282.0,-0.6694,-0.169,1.3018,0.3705,0.9509,-0.4139,-0.149,0.127,0.4631,-0.5957,-1.7787,0.4436,0.8928,-0.5692,-0.7521,0.2298,-0.8428,0.3047,-0.5194,0.0602,0.2975,0.8908,0.0127,-0.4078,-0.6782,-0.5132,0.2534,0.2543,11.64,0
284.0,-0.765,1.3395,1.2094,0.0059,-0.3318,-0.9192,0.4344,0.3088,-0.6986,-0.5682,-0.3974,0.5725,0.9652,0.2856,0.7138,0.2808,-0.2747,-0.4182,0.0007,0.062,-0.1705,-0.5347,0.0432,0.3882,-0.137,0.0704,0.1427,0.0605,11.99,0
288.0,-0.5988,0.0733,-0.1138,-2.3152,1.6444,4.3895,3.1742,-1.0324,0.673,0.8925,0.3867,-0.9291,-0.2153,-1.2137,0.8329,0.3613,-1.7781,-0.3203,-0.0039,-0.1045,-0.5885,-0.4965,-0.2766,1.0696,-0.6291,0.4015,-1.3466,-1.2285,380.95,0
290.0,-5.1663,-5.4494,2.9885,2.659,1.9482,-0.8545,-0.3264,-1.0174,1.9839,1.0552,-0.5035,0.2343,0.8475,-2.3855,0.3262,-0.9358,0.1915,-0.2274,2.8627,-2.5389,-1.2972,1.1723,3.1504,0.5741,1.0184,0.9871,0.6583,-1.6097,85.0,0
303.0,1.0311,-0.1683,0.777,1.072,-0.3374,0.5574,-0.4458,0.1572,0.3948,-0.1014,-0.8382,0.427,1.1233,-0.1992,1.64,0.6005,-0.7783,0.0724,-0.7777,0.0993,0.1359,0.3187,-0.1637,-0.7529,0.3745,-0.2908,0.0671,0.0449,90.0,0
310.0,-1.2364,-0.687,2.0934,0.6012,0.7823,-1.1671,-0.6754,0.2326,0.5005,-0.5654,-1.0502,0.0917,-0.1981,-0.2776,-0.0426,0.3574,-0.6537,0.3821,-0.975,0.1297,0.3788,0.8415,0.1501,0.3918,-0.5423,-0.5315,0.1863,0.23,7.8,0
313.0,-1.0384,0.7561,0.7199,0.9884,-0.2373,-0.3789,0.4137,0.4368,-0.4482,-0.3466,-0.7865,-0.999,-1.968,1.0499,1.4891,-0.3726,0.3503,-0.0358,0.1105,-0.3442,0.1895,0.4779,0.2985,0.0294,-0.3004,-0.2941,-0.0099,0.0389,68.0,0
330.0,1.2078,-0.0069,0.3613,0.7789,-0.4046,-0.5036,0.0089,-0.124,0.4789,-0.2062,-0.9746,0.3824,0.0755,-0.094,-0.1872,-0.1775,-0.0996,-0.5979,0.3448,-0.0538,-0.2395,-0.5602,-0.0548,0.0597,0.4938,0.2887,-0.0273,0.0138,32.38,0
335.0,1.2959,1.0118,-3.1919,0.4715,3.3502,2.4328,0.1896,0.6217,-0.5567,-1.4874,1.0217,-0.7352,-0.3341,-3.2068,1.2764,1.3701,2.2159,1.7981,-0.4652,0.086,-0.2632,-0.8254,-0.2453,0.6747,1.0108,-0.2791,0.0405,0.0906,4.8,0
336.0,-0.8952,0.5621,2.8175,-0.7187,0.2232,0.7962,0.4649,-0.0021,0.3875,-0.195,1.025,1.0041,0.5762,-0.9967,-0.7878,0.0834,-0.717,-0.1767,-0.4386,0.2155,-0.117,0.2212,-0.3804,-0.2457,0.203,0.3208,-0.1743,-0.332,7.72,0
339.0,0.5033,0.9301,-0.8575,2.0429,-1.5059,-1.0002,-1.9914,0.4606,-1.1241,-1.9746,2.9461,-2.1499,-0.6465,-2.2388,0.2917,-2.2133,-5.4,-1.4454,0.3681,0.1667,0.3799,-0.0622,-0.0122,0.4798,0.5319,-0.4413,0.4608,0.22,2.0,0
347.0,-1.5313,1.3996,-0.5871,2.175,-2.1376,-0.5016,-1.2152,0.9569,-1.8666,-2.311,2.7701,-2.361,-0.5292,-2.0034,0.6196,-2.4891,-4.8876,-1.0696,1.3355,0.8059,0.5579,0.0853,0.4031,0.4544,0.2025,-0.3131,0.5272,0.2026,204.03,0
360.0,1.2954,0.2969,0.0687,0.5727,-0.1657,-0.7811,0.031,-0.1331,0.1657,-0.2628,-0.6553,-0.2807,-0.3161,-0.1934,1.2029,0.665,-0.1643,-0.046,0.0087,-0.1059,-0.3308,-0.9805,0.0713,-0.2105,0.2666,0.13,-0.0278,0.0239,0.89,0
365.0,-0.4566,0.5417,1.3313,0.5594,0.184,0.6128,0.6328,0.1523,-0.2022,-0.5107,-1.3639,-0.4318,-0.4773,0.0056,0.5186,-0.7845,0.4251,-0.4909,1.3192,0.1942,-0.1345,-0.3161,-0.0721,-0.7497,-0.0396,0.4721,0.0756,0.1,74.22,0
368.0,1.2392,0.1034,0.3717,0.44,-0.3704,-0.5094,-0.1292,0.0306,-0.0106,0.1388,0.9856,0.3119,-0.9121,0.6551,0.487,0.6509,-0.7241,0.207,0.302,-0.1481,-0.2409,-0.7906,0.0978,-0.0349,0.1903,0.1014,-0.0412,0.003,1.98,0
373.0,-1.2545,0.3223,1.7845,-0.3074,1.0091,-0.9985,0.3285,0.1313,-0.4853,-1.0283,-0.1982,-0.3602,-0.6634,-0.2276,0.8719,0.3528,0.1141,-0.5431,-1.0383,0.0326,-0.161,-0.779,-0.0254,0.0008,0.1548,0.042,-0.0195,0.0812,1.79,0
377.0,1.1669,0.027,0.5139,0.861,-0.5195,-0.6811,0.075,-0.1878,0.3454,-0.2317,-0.5328,0.8786,0.7256,-0.2123,-0.2895,-0.3138,-0.01,-0.7998,0.2024,-0.0021,-0.2027,-0.4414,-0.0258,0.4526,0.4672,0.2626,-0.0238,0.0205,40.83,0
383.0,-0.9079,1.6222,0.0364,0.5263,0.3436,-0.8141,1.2864,-0.5133,0.6501,2.3745,1.277,-0.1566,-1.3462,0.0858,0.2561,-0.5964,-0.6247,0.376,0.584,0.5933,-0.1187,0.6403,0.0223,0.2974,-0.6506,-0.5302,-0.0423,-0.4908,17.99,0
387.0,1.248,0.3678,0.0582,0.9333,0.4439,0.2264,0.1157,-0.0596,-0.1555,-0.0335,-0.8412,0.6933,1.6122,0.0149,1.1552,0.1581,-0.6668,-0.4592,-0.4079,-0.0377,-0.0753,-0.0986,-0.1372,-0.9409,0.6455,-0.3342,0.0443,0.0159,10.0,0
388.0,-0.5172,0.5992,2.914,0.375,-0.4534,-0.4079,0.6533,-0.3378,0.7133,-0.2925,-0.4312,0.0094,-0.5527,-0.8437,-0.3626,-0.1368,-0.464,-0.1468,-0.8213,-0.0748,-0.0166,0.3946,-0.151,0.8962,-0.3352,-0.6801,-0.2861,-0.2987,12.99,0
406.0,-2.3122,1.952,-1.6099,3.9979,-0.5222,-1.4265,-2.5374,1.3917,-2.7701,-2.7723,3.202,-2.8999,-0.5952,-4.2893,0.3897,-1.1407,-2.8301,-0.0168,0.417,0.1269,0.5172,-0.035,-0.4652,0.3202,0.0445,0.1778,0.2611,-0.1433,0.0,1
409.0,-0.5449,0.5954,1.8133,-1.3447,0.0169,-0.6014,0.6609,-0.059,0.317,-0.5232,-0.3865,-0.7168,-1.3072,0.0183,0.9265,0.2822,-0.4272,-0.6717,-1.0321,-0.0168,-0.123,-0.1482,-0.0761,0.074,-0.4866,0.7245,0.1043,-0.0551,0.77,0
411.0,-0.5665,-0.0577,-0.8251,-1.0402,1.0597,3.8113,0.066,1.2802,-0.5044,-0.6737,-0.3155,-0.1689,0.2282,0.4738,1.4781,0.6295,-0.5267,0.5376,0.9195,0.5604,0.2089,-0.0462,0.5677,1.0393,-0.3715,0.997,-0.1988,-0.019,235.7,0
432.0,-0.7517,1.1984,1.2874,-0.3848,0.0904,-0.4069,0.5567,-1.9796,-0.5175,-0.1873,0.3689,0.4289,0.5745,0.083,1.1972,-0.8606,0.4607,-1.0175,0.4915,-0.1985,1.5345,-0.2033,0.0375,0.4744,-0.2526,1.0904,-0.041,-0.1174,22.03,0
448.0,-0.2425,0.8912,1.1648,1.0254,0.7291,0.6635,0.7606,-0.0045,0.0374,0.1286,-1.5671,-0.6876,-0.7943,-0.0959,0.4072,-0.9723,0.2053,-0.2818,1.1116,0.1898,-0.1613,0.0473,-0.3027,-0.9313,-0.0086,-0.1871,0.2592,-0.0306,11.99,0
463.0,-0.3867,0.1726,0.7326,-1.4347,0.0331,-1.0437,0.7207,-0.1508,0.4229,-1.2251,-0.0902,-0.0966,-0.8192,0.6714,2.1319,-1.4886,0.6589,-0.3486,1.5826,0.1753,0.1432,0.4024,-0.0209,0.1215,-0.1943,0.1143,0.114,0.1357,55.0,0
472.0,-3.0435,-3.1573,1.0885,2.2886,1.3598,-1.0648,0.3256,-0.0678,-0.271,-0.8386,-0.4146,-0.5031,0.6765,-1.692,2.0006,0.6668,0.5997,1.7253,0.2833,2.1023,0.6617,0.4355,1.376,-0.2938,0.2798,-0.1454,-0.2528,0.0358,529.0,1
481.0,-2.7521,-3.2322,0.873,0.1082,-2.4513,0.4862,3.1529,-1.0131,1.1283,-0.9398,-0.4907,0.0962,-0.0435,-1.1403,-0.729,0.1999,-0.3991,-0.603,-0.2745,-0.1021,-0.2998,-0.0038,0.5458,0.854,-0.9437,0.6078,0.3351,-0.5617,1015.61,0
495.0,-0.2395,-3.9402,-0.1476,-0.6713,-2.2393,0.9082,-0.3774,0.1579,-1.5959,0.9879,1.225,-0.14,-0.4539,-0.1115,-0.4904,-0.974,1.2485,-0.5883,-0.5092,1.2177,0.0763,-1.1322,-0.4868,-0.3029,-0.3041,-0.4698,-0.0775,0.1517,834.84,0
499.0,1.2554,0.3077,0.2927,0.6999,-0.4289,-1.0885,0.0438,-0.1677,0.1289,-0.2641,-0.1745,-0.1035,-0.4107,-0.1608,1.1638,0.5084,0.0312,-0.2211,-0.1942,-0.1212,-0.2948,-0.8821,0.1368,0.3279,0.1945,0.0965,-0.0273,0.0295,1.98,0
513.0,1.2553,0.0752,0.2257,0.8818,0.1545,0.632,-0.386,0.1895,0.448,0.0126,-1.5845,-0.5328,-0.2467,0.1802,1.6243,0.5753,-0.8048,0.3081,-0.4677,-0.1488,0.0885,0.3212,-0.2352,-1.325,0.6431,-0.1337,0.0531,0.0125,7.0,0
524.0,-0.7953,0.0812,2.2106,0.2681,-0.5069,-0.3038,-0.1808,0.0855,0.2483,-0.4702,0.0167,0.5408,0.3732,-0.4466,0.693,-0.9713,0.8017,-0.7148,0.8,0.0542,0.2102,0.8699,-0.1187,0.7446,-0.5043,1.2598,0.0147,0.1283,37.89,0
530.0,1.4457,-0.9927,0.703,-1.3113,-1.6136,-0.7266,-1.0454,-0.0792,-1.8124,1.3814,0.0575,-0.7905,0.1209,-0.2024,0.9208,-0.6433,0.8872,-0.7583,-0.6335,-0.3923,-0.4097,-0.8194,0.2878,0.3227,-0.0076,-0.4693,0.0508,0.0272,12.0,0
533.0,-1.2335,0.1453,-0.0672,-1.7506,-0.8011,-0.3817,1.5611,0.3202,0.2314,-1.7511,1.3865,1.8137,0.4101,0.5929,-0.659,-0.9682,0.0373,-0.1636,-0.0751,0.4609,0.3953,0.8686,0.555,0.2436,-0.0347,-0.8299,0.2343,0.1905,291.36,0
534.0,-1.3933,-1.0956,2.6078,-2.5291,-0.1353,-0.3732,0.2214,-0.9628,-1.3045,2.1393,0.0383,-1.1563,1.0187,-1.797,0.6738,-0.6548,-0.0748,-0.2881,-1.2334,-0.2298,-0.2814,0.5632,-0.1298,0.0893,0.3176,-0.2886,-0.8635,-0.5192,25.0,0
537.0,-1.0973,1.0943,2.0743,-0.0858,-0.2006,-0.4241,0.5753,0.1069,-0.2781,-0.189,0.1422,0.1792,0.2005,-0.0325,1.241,-0.149,-0.0296,-0.6888,-0.5378,0.2533,-0.0807,-0.0556,-0.1325,0.4103,0.1812,0.2956,0.3955,0.1976,27.34,0
539.0,-1.0546,0.6715,2.1067,-0.5917,0.2284,-0.0537,0.9416,-0.1911,0.2676,-0.7124,-0.6934,0.1131,-0.3069,-0.6113,-0.8199,-0.4904,-0.055,-1.0178,-0.8888,-0.1752,-0.0497,0.1375,-0.4203,0.1305,0.4825,0.3941,-0.4098,-0.1796,35.64,0
539.0,-1.7386,0.0527,1.1871,-0.6567,0.9206,-0.2918,0.2691,0.1406,0.0235,-0.0664,1.0615,1.1124,0.4312,-0.1645,-0.6777,-0.0646,-0.4661,-0.5374,-0.1406,0.003,-0.1795,-0.192,-0.2619,-0.2375,-0.335,0.2403,-0.3451,-0.3836,1.0,0
544.0,1.1837,0.1434,0.2387,1.3169,-0.0302,0.0122,0.0224,0.0424,0.4093,-0.1073,-0.9642,0.0805,-0.689,0.1686,0.0009,-0.5887,0.1684,-0.784,-0.2289,-0.2122,-0.1308,-0.1752,-0.1017,-0.2823,0.6891,-0.2887,0.0348,0.0116,11.46,0
550.0,0.6016,-1.6343,1.0427,1.0638,-1.8729,0.2478,-0.6999,0.2116,-0.2488,0.6586,0.5102,0.4456,-0.968,-0.1181,-1.1639,-1.4358,0.1098,1.6558,-0.6709,0.0031,-0.3027,-0.9266,-0.1445,0.4841,0.1133,-0.4986,0.0283,0.0842,317.25,0
559.0,-0.6899,0.1154,0.6196,-2.2568,0.9858,-0.668,1.6311,-0.9392,1.8967,0.2375,0.4089,-0.3037,-1.9451,-0.3609,-0.3675,-0.7867,-1.0766,0.6067,0.7792,0.0828,-0.2009,0.4856,-0.4277,-0.51,-0.1093,-0.9065,-0.3183,-0.5993,50.2,0
562.0,-0.3129,0.8151,1.4053,0.0705,0.0586,-1.0309,0.7602,-0.1822,0.0373,-0.2445,-0.4435,-1.1569,-1.7653,-0.2636,1.1319,0.388,0.0103,0.069,-0.074,0.1021,-0.3265,-0.8213,-0.0002,0.2767,-0.243,0.0498,0.0646,-0.1267,10.99,0
583.0,-1.7185,0.4482,0.9512,-0.3247,1.0175,-0.0947,0.8405,-0.3151,0.8479,1.2054,-0.9527,-0.9769,-0.7933,-0.4189,1.483,0.0912,-0.711,-0.4799,0.0788,-0.0043,-0.6596,-0.655,0.4402,-0.9814,0.1058,0.1593,0.3988,-0.29,10.77,0
590.0,1.3864,-0.6383,-0.1437,-1.0381,-0.3828,0.0136,-0.5626,-0.0266,-1.003,0.7789,0.3291,-0.1983,0.5842,-0.073,0.0936,1.6724,-0.4821,-0.487,1.2821,0.22,0.1388,0.2229,-0.2549,-0.927,0.6354,-0.1501,-0.007,-0.0001,50.0,0
600.0,-1.5825,1.3388,1.9083,0.1989,-1.2353,-0.2419,-0.6193,1.0289,0.0041,-0.9501,-1.1261,0.4649,0.209,0.0311,-0.0226,0.243,0.2117,-0.0093,0.1742,-0.093,0.014,-0.0101,-0.1507,0.4311,0.2689,0.3585,-0.0824,0.0009,2.72,0
