customer_id,contract_type,contract_start_date,last_call_date,minutes_used_two_months_ago,minutes_used_last_month,minutes_used_current_month,helpdesk_calls_3m,avg_monthly_bill,unpaid_invoices,region_code,retention_offer_sent,region_churn_rate,contract_end_date,churn
C00314,Postpaid,2017-10-30,2023-04-15,287,203,2,4,44.54,1,1480,0,0.375,2023-06-03,1
C02833,Prepaid,2017-04-07,2023-06-10,50,55,51,1,,0,1890,0,0.235,,0
C04608,Prepaid,2020-04-24,2023-06-06,81,87,95,1,,0,9160,0,0.153,,0
C00564,Postpaid,2023-01-14,2023-06-01,232,165,1,3,33.28,1,6680,1,0.286,2023-06-20,1
C03142,Postpaid,2021-08-23,2023-05-06,409,466,435,2,68.64,1,3660,0,0.235,,0
C00036,Postpaid,2022-04-20,2023-06-01,763,849,829,0,98.38,2,9160,0,0.153,,0
C04848,Prepaid,2020-01-26,2023-05-20,25,22,1,2,,0,3930,0,0.571,,1
C02426,Postpaid,2018-08-26,2023-05-29,216,132,7,0,39.72,1,4740,1,0.5,2023-06-16,1
C03194,Prepaid,2016-07-17,2023-06-10,47,54,57,0,,0,7500,0,0.079,,0
C00623,Prepaid,2021-08-03,2023-06-16,91,83,88,0,,0,3740,0,0.129,,0
C03219,Postpaid,2016-10-31,2023-06-15,235,200,213,16,32.67,0,3250,0,0.062,2025-07-28,0
C03389,Prepaid,2021-11-28,2023-06-30,79,84,83,1,,0,3000,0,0.173,,0
C02251,Postpaid,2016-09-18,2023-05-16,350,299,12,0,50.86,0,3000 Leuven,1,0.173,2023-06-01,1
C04399,Prepaid,2015-12-10,2023-05-22,89,78,79,2,,0,3000,0,0.173,,0
C01173,Prepaid,2021-06-28,2023-05-12,67,73,78,2,,0,2670,0,0.086,,0
C03356,Prepaid,2015-08-15,2023-06-19,148,167,165,1,,0,6200,0,0.167,,0
C04909,Postpaid,2016-03-14,2023-05-25,1204,1286,1202,3,127.07,1,8630,0,0.188,,0
C00398,Prepaid,2014-05-05,2023-06-29,118,119,124,0,,0,3000,0,0.173,,0
C01388,PREPAID,2019-01-01,2023-06-25,163,141,151,0,,0,LEU-3000,0,0.173,,0
C00199,Prepaid,2021-05-08,2023-05-14,286,317,293,2,,0,2670,0,0.086,,0
C01934,Prepaid,2018-08-27,2023-06-10,43,41,42,3,,0,8560,0,0.233,,0
C04498,Prepaid,2018-04-06,2023-06-14,61,54,53,0,,0,2150,0,0.094,,0
C03093,Postpaid,2017-06-19,2023-06-23,251,253,228,2,46.82,0,1700,0,0.342,,0
C04365,Postpaid,2015-05-01,2023-05-18,36,32,31,2,28.66,0,9100,0,0.136,,0
C00120,Prepaid,2022-01-27,2023-05-26,94,99,102,1,,0,5490,1,0.118,,0
C00239,Prepaid,2015-10-05,2023-06-02,553,633,620,0,,0,6000,0,0.182,,0
C04145,Postpaid,2017-05-30,2023-04-09,428,436,26,5,49.36,1,2600,1,0.231,2023-06-01,1
C00375,Prepaid,2022-06-04,2023-05-31,56,27,0,1,,0,2190,1,0.143,,1
C02731,Prepaid,2014-05-14,2023-06-26,69,69,67,2,,0,4220,1,0.0,,0
C00739,Postpaid,2019-08-10,2023-06-13,715,769,801,1,80.55,0,3000,0,0.173,,0
C01177,Postpaid,2016-01-24,2023-06-10,1181,1280,1160,3,129.26,0,7310,0,0.111,,0
C04082,Prepaid,2017-02-16,2023-06-02,31,17,1,1,,0,3660,1,0.235,,1
C00743,Prepaid,2015-08-18,2023-06-18,89,78,84,1,,0,7110,0,0.3,,0
C00381,Postpaid,2018-07-21,2023-06-20,166,151,164,0,48.51,0,9130,0,0.0,,0
C04953,Prepaid,2022-10-22,2023-06-17,166,179,165,2,,0,4600,0,0.102,,0
C00827,Postpaid,2019-06-27,2023-05-15,200,111,5,2,45.62,0,6900,1,0.205,2023-06-12,1
C01147,Postpaid,2022-05-21,2023-06-05,174,100,1,0,26.35,0,6960,0,0.359,2023-06-30,1
C00867,Postpaid,2022-03-29,2023-05-14,43,33,0,1,42.86,1,4370,1,0.074,2023-06-25,1
C00122,Prepaid,2016-11-07,2023-04-29,56,30,1,0,,0,1700,1,0.342,,1
C04833,Prepaid,2015-07-11,2023-06-24,60,51,53,1,,0,9770,0,0.083,,0
C04871,Prepaid,2015-07-13,2023-06-26,82,76,78,1,,0,9100,0,0.136,,0
C02883,Prepaid,2019-09-10,2023-06-19,65,68,65,0,,0,9860,0,0.132,,0
C04473,Postpaid,2022-07-22,2023-06-02,322,311,293,2,53.35,0,3050,0,0.111,,0
C01919,Postpaid,2020-03-24,2023-06-06,256,234,225,1,48.78,1,3001,0,0.0,,0
C02340,Postpaid,2020-03-06,2023-06-07,459,444,481,1,71.06,0,9860,0,0.132,,0
C00620,Postpaid,2023-03-13,2023-05-29,256,260,237,1,50.99,0,9100,0,0.136,,0
C04167,Prepaid,2014-07-28,2023-05-30,135,84,1,2,,0,1700,1,0.342,,1
C00130,Postpaid,2021-09-08,2023-06-27,32,30,32,0,28.31,500,3080,0,0.0,,0
C00378,Postpaid,2023-01-25,2023-05-15,114,118,124,2,37.76,0,1300,0,0.26,,0
C03886,Postpaid,2021-12-07,2023-05-21,89,81,83,3,31.36,0,4380,0,0.125,,0
C03144,Postpaid,2016-06-02,2023-05-11,247,204,0,2,42.99,0,3980,1,0.222,2023-06-30,1
C01832,Postpaid,2022-12-23,2023-05-10,425,259,12,3,50.58,0,3000,1,0.173,2023-06-27,1
C03917,Prepaid,2019-11-14,2023-06-28,108,92,93,0,,0,9160,0,0.153,,0
C03301,Postpaid,2019-10-15,2023-06-06,355,346,320,1,61.24,0,1700,0,0.342,,0
C02726,Prepaid,2022-06-12,2023-06-04,83,94,99,4,,0,9110,0,0.0,,0
C04033,Postpaid,2017-11-25,2023-06-23,124,110,116,1,37.63,1,4600,0,0.102,,0
C00281,Prepaid,2017-01-08,2023-06-30,395,345,313,0,,0,9160,0,0.153,,0
C02790,Postpaid,2018-09-05,2023-05-16,758,846,805,0,98.88,1,5350,0,0.214,,0
C00501,Postpaid,2016-06-24,2023-04-10,66,63,3,0,18.67,1,8800,1,0.231,2023-06-02,1
C00799,Prepaid,2023-04-04,2023-06-09,55,58,55,1,,0,2670,0,0.086,,0
C03771,Postpaid,2018-02-16,2023-06-26,512,459,459,1,68.49,0, 1200,0,0.116,,0
C03279,Prepaid,2015-11-29,2023-06-16,120,124,132,0,,0,7500,0,0.079,,0
C02153,Postpaid,2020-07-25,2023-06-19,140,120,119,0,33.36,0,1740,0,0.161,,0
C01243,Prepaid,2019-04-09,2023-06-27,40,37,35,0,,0,6620,0,0.118,,0
C01088,Prepaid,2020-12-25,2023-06-01,275,251,253,1,,0,9100,0,0.136,,0
C00089,Postpaid,2014-04-08,2023-06-17,1635,1392,1386,0,127.13,0,1850,0,0.2,,0
C00977,Postpaid,2019-04-13,2023-05-06,225,218,223,0,40.35,0,2670,0,0.086,,0
C01501,Postpaid,2018-12-02,2023-06-14,238,267,250,1,59.4,0,9160,0,0.153,,0
C01714,postpaid,2018-10-08,2023-06-14,470,415,420,1,62.96,1,9160,0,0.153,,0
C02909,Postpaid,2014-04-07,2023-06-27,197,212,198,0,39.52,0,6140,0,0.0,,0
C03424,Prepaid,2019-03-10,2023-06-30,31,28,26,1,,0,9100,1,0.136,,0
C04988,Prepaid,2021-01-16,2023-06-08,74,75,71,1,,0,9100,0,0.136,,0
C03450,Post-paid,2022-04-26,2023-06-09,88,84,90,0,30.82,0,5490,0,0.118,,0
C00883,Postpaid,2018-09-23,2023-06-22,268,240,232,1,49.49,1,4890,0,0.136,,0
C01561,Postpaid,2014-12-30,2023-06-17,297,322,323,1,57.54,1,4190,0,0.182,,0
C03062,Postpaid,2018-08-05,2023-06-25,342,356,335,2,51.44,0,7970,0,0.125,,0
C01421,Postpaid,2017-08-15,2023-06-18,86,79,71,2,37.69,0,5680,0,0.333,,0
C01108,Postpaid,2021-02-01,2023-06-01,180,188,10,2,34.0,1,3660,1,0.235,2023-06-29,1
C02213,Postpaid,2016-05-19,2023-05-29,202,175,169,0,43.28,0,2660,0,0.25,,0
C03834,Postpaid,2017-01-29,2023-06-24,241,228,227,1,43.22,0,9160,0,0.153,,0
C03117,Postpaid,2017-03-26,2023-06-25,234,248,243,0,54.47,0,1200,0,0.116,,0
C00802,Postpaid,2020-01-16,2023-06-20,411,380,368,0,55.27,0,1500,0,0.0,,0
C03273,Postpaid,2015-08-11,2023-06-24,201,224,222,0,55.81,0,9160,0,0.153,,0
C03640,Postpaid,2016-10-30,2023-05-08,85,87,5,2,34.08,0,3060,1,0.286,2023-06-25,1
C04948,Prepaid,2020-05-21,2023-06-29,36,37,34,0,,0,9160,0,0.153,,0
C03622,Postpaid,2020-01-13,2023-06-02,73,84,86,0,33.15,0,3000,0,0.173,2023-09-27,0
C01400,postpaid,2022-07-18,2023-06-14,766,806,869,0,82.29,1,6200,0,0.167,,0
C02011,Prepaid,2015-08-24,2023-05-23,208,187,173,3,,0,3630,0,0.286,,0
C00840,Postpaid,2015-06-26,2023-06-28,239,244,234,0,41.8,0,1700,1,0.342,,0
C04329,Postpaid,2015-04-30,2023-06-28,120,129,135,0,22.95,0,2670,0,0.086,,0
C03911,Prepaid,2016-07-22,2023-04-14,193,136,6,0,,0, 1070,1,0.2,,1
C00538,Postpaid,2021-05-10,2023-06-05,123,116,108,0,38.81,0,3660,0,0.235,2024-11-13,0
C01020,Postpaid,2022-12-11,2023-05-11,113,112,4,0,35.22,0,2670,1,0.086,2023-06-09,1
C04730,Prepaid,2016-01-30,2023-05-04,50,54,58,0,,0, 8000,0,0.211,,0
C02319,Prepaid,2016-11-17,2023-06-23,125,127,126,1,,0,6900,0,0.205,,0
C02065,Postpaid,2016-10-01,2023-06-16,701,801,827,0,94.25,1,7890,0,0.25,,0
C01206,Postpaid,2016-02-03,2023-06-19,78,80,82,1,27.29,2,6960,0,0.359,,0
C03043,Prepaid,2018-08-28,2023-04-09,72,62,2,2,,0,8430,1,0.2,,1
C03353,Prepaid,2015-10-03,2023-05-20,55,43,2,3,,0,3000 Leuven,1,0.173,,1
C03541,Prepaid,2016-11-22,2023-05-08,63,61,2,3,,0,3000,1,0.173,,1
C01146,Postpaid,2015-01-06,2023-06-06,207,227,207,2,40.93,0,9160,0,0.153,,0
C01154,Postpaid,2021-02-20,2023-06-15,160,146,149,1,27.21,0,3480,0,0.1,,0
C01874,postpaid,2021-07-04,2023-06-24,466,484,521,1,63.32,1,6020,0,0.167,,0
C00342,Postpaid,2022-10-06,2023-06-04,122,103,106,0,37.87,0,7310,0,0.111,,0
C01194,Postpaid,2015-07-04,2023-06-03,95,109,109,0,33.83,0,8540,0,0.125,,0
C03341,Postpaid,2022-10-26,2023-05-30,253,178,6,2,34.35,1,4600,0,0.102,2023-06-26,1
C02151,Postpaid,2016-06-09,2023-06-18,258,260,272,2,46.21,0,1690,0,0.167,,0
C01151,Postpaid,2015-11-02,2023-06-14,506,533,542,1,75.24,0,6900,1,0.205,,0
C00823,Postpaid,2021-05-04,2023-06-05,756,708,656,0,84.86,0,1560,0,0.0,,0
C04052,Postpaid,2020-09-04,2023-04-07,185,99,1,4,26.23,0,8990,1,0.5,2023-06-26,1
C00990,Postpaid,2016-09-17,2023-06-27,500,551,596,0,74.08,0,2470,0,0.0,,0
C04583,Postpaid,2019-03-16,2023-06-10,180,190,201,0,35.48,0,3000,0,0.173,,0
C01636,Postpaid,2015-01-28,2023-06-26,111,110,110,0,39.56,0,2190,0,0.143,,0
C00500,Postpaid,2017-11-25,2023-06-02,110,115,106,0,43.36,0,1050,0,0.278,,0
C03266,Postpaid,2018-10-03,2023-06-17,193,170,160,1,27.95,0,3660,0,0.235,2023-09-11,0
C00910,Prepaid,2020-01-11,2023-05-11,11,10,10,1,,0,7500,0,0.079,,0
C04904,Post-paid,2022-12-02,2023-06-13,381,427,447,0,63.4,0,1700,0,0.342,,0
C04812,Postpaid,2018-02-16,2023-06-27,322,345,363,0,55.42,0,5290,0,0.171,2025-07-04,0
C02545,Postpaid,2014-09-22,2023-06-08,92,88,85,4,37.61,0,2670,0,0.086,,0
C00069,Postpaid,2014-03-28,2023-06-18,719,672,728,2,73.33,0,2600,0,0.231,,0
C03063,Prepaid,2018-09-17,2023-06-08,294,280,282,2,,0,9200,0,0.222,,0
C00492,Postpaid,2019-09-05,2023-06-13,763,766,749,1,77.85,0,1670,1,0.125,,0
C04611,Prepaid,2017-05-29,2023-06-18,53,55,56,2,,0,6470,0,0.214,,0
C02412,Prepaid,2016-11-16,2023-06-12,83,80,81,1,,0,3980,0,0.222,,0
C02811,Postpaid,2017-02-25,2023-04-25,351,236,4,2,48.86,0,6900,1,0.205,2023-06-27,1
C03309,Prepaid,2016-10-24,2023-06-22,59,63,60,1,,0,6960,0,0.359,,0
C01479,Prepaid,2023-04-26,2023-05-28,340,321,289,1,,0,6430,0,0.188,,0
C01723,Postpaid,2017-12-30,2023-06-13,182,209,227,0,56.88,1,1700,0,0.342,2024-07-19,0
C03954,Prepaid,2017-07-29,2023-06-10,111,105,111,0,,0,5290,0,0.171,,0
C04333,Prepaid,2016-09-25,2023-06-22,72,62,61,0,,0,4750,0,0.25,,0
C04177,Prepaid,2022-08-31,2023-06-17,106,99,97,0,,0,9100,0,0.136,,0
C03023,Prepaid,2017-04-14,2023-06-05,356,335,334,0,,0,9100,0,0.136,,0
C01673,Postpaid,2018-02-21,2023-06-05,403,456,476,0,67.1,0,9160,0,0.153,2025-04-08,0
C00650,Postpaid,2020-07-29,2023-06-01,188,160,2,1,39.45,0,6470,0,0.214,2023-06-15,1
C04173,Postpaid,2021-06-12,2023-06-29,289,250,251,2,46.95,1,7500,1,0.079,,0
C01347,Prepaid,2016-04-01,2023-06-27,47,41,44,1,,0,4180,0,0.167,,0
C00678,Postpaid,2021-05-16,2023-06-12,249,255,235,2,45.33,1,3000,0,0.173,,0
C01323,Postpaid,2014-07-08,2023-06-09,326,320,308,0,51.38,0,7670,0,0.333,,0
C04196,Prepaid,2019-10-28,2023-06-29,68,60,66,1,,0,1200,0,0.116,,0
C00187,Prepaid,2015-07-08,2023-04-18,83,87,2,2,,0,8490,1,0.143,,1
C01124,Postpaid,2017-03-24,2023-06-04,91,81,88,1,34.92,0,2670,0,0.086,2024-07-28,0
C01523,Prepaid,2017-08-12,2023-05-13,162,81,2,1,,0,9230,0,0.389,,1
C04219,Postpaid,2019-07-31,2023-04-18,79,62,2,3,43.45,0,2230,0,0.421,2023-06-26,1
C03821,Postpaid,2021-09-10,2023-06-26,110,102,107,1,43.02,0,9100,1,0.136,,0
C01904,Postpaid,2022-09-20,2023-05-18,220,240,217,1,52.09,0,1180,0,0.0,2024-12-28,0
C02192,Postpaid,2017-05-27,2023-06-23,232,204,208,1,39.99,0,7500,0,0.079,,0
C01258,Post-paid,2020-09-21,2023-06-17,55,61,59,1,31.63,0,2600,0,0.231,,0
C03858,Prepaid,2016-04-30,2023-06-05,37,36,35,1,,0,LEU-3000,0,0.173,,0
C00376,Postpaid,2017-06-12,2023-05-07,112,116,119,0,41.7,0,9160,0,0.153,,0
C03190,Postpaid,2023-02-19,2023-06-12,532,537,561,2,72.76,1,8310,0,0.175,,0
C01709,Prepaid,2020-05-20,2023-06-03,135,122,131,2,,0,5350,0,0.214,,0
C00832,Postpaid,2022-07-12,2023-06-07,1113,1237,1182,0,117.94,1,3000,0,0.173,,0
C00506,Postpaid,2020-11-18,2023-05-31,167,145,146,0,37.47,0,9160,0,0.153,,0
C00995,Postpaid,2018-09-06,2023-05-15,54,63,64,1,45.91,0,8560,0,0.233,2024-09-08,0
C02810,Postpaid,2019-03-17,2023-06-22,530,525,493,3,57.83,1,9160,0,0.153,,0
C04517,Prepaid,2021-08-02,2023-06-15,85,82,82,1,,0,3000,0,0.173,,0
C04965,Prepaid,2014-03-19,2023-06-01,92,85,81,1,,0,3700,0,0.0,,0
C02844,Prepaid,2019-12-13,2023-05-08,223,208,198,1,,0,6280,0,0.0,,0
C03617,Prepaid,2017-08-19,2023-06-26,39,35,36,0,,0,6620,0,0.118,,0
C00498,Prepaid,2016-11-29,2023-04-24,38,20,0,1,,0,5380,1,0.167,,1
C01609,Postpaid,2022-01-28,2023-06-25,557,615,556,0,83.8,0,LEU-3000,0,0.173,,0
C02734,Postpaid,2018-03-08,2023-06-23,118,130,135,1,42.96,1,9100,0,0.136,2023-10-29,0
C03576,Prepaid,2014-08-09,2023-06-10,111,109,99,0,,0,6260,1,0.0,,0
C03019,Prepaid,2019-04-13,2023-05-21,175,140,2,3,,0,9100,1,0.136,,1
C00465,Postpaid,2016-12-10,2023-06-08,208,237,218,2,46.6,0,4100,0,0.0,,0
C02417,Postpaid,2019-06-20,2023-05-15,342,239,1,0,40.44,1,8310,1,0.175,2023-06-15,1
C01616,Prepaid,2014-11-24,2023-06-01,26,28,30,1,,0,5210,0,0.0,,0
C03584,Postpaid,2023-04-19,2023-06-28,199,173,171,0,44.93,0,2660,0,0.25,,0
C00073,Postpaid,2023-02-01,2023-05-20,388,440,479,1,62.38,0,5760,0,0.25,,0
C00318,Prepaid,2014-12-07,2023-06-05,18,17,16,4,,0,8490,0,0.143,,0
C04427,Postpaid,2014-11-02,2023-06-26,283,308,329,0,52.35,1,5590,0,0.0,,0
C03133,Postpaid,2021-01-16,2023-05-08,548,345,6,1,57.87,0,3740,1,0.129,2023-06-17,1
C04565,Prepaid,2022-05-06,2023-06-26,43,47,44,1,,0,2190,0,0.143,,0
C00193,Prepaid,2020-03-11,2023-06-04,99,93,102,0,,0,9160,0,0.153,,0
C04551,Postpaid,2015-07-13,2023-06-24,77,74,77,1,37.45,1,9160,0,0.153,,0
C04201,Prepaid,2019-09-10,2023-06-08,24,22,23,0,,0,8360,0,0.1,,0
C01517,Postpaid,2017-08-28,2023-06-26,553,539,536,2,67.49,0,3090,0,0.125,,0
C01835,Postpaid,2019-07-11,2023-06-27,97,85,79,0,30.85,1,2070,0,0.312,,0
C00810,Postpaid,2016-04-13,2023-05-19,238,151,1,1,48.6,0,9860,0,0.132,2023-06-15,1
C00219,Postpaid,2019-03-07,2023-05-31,298,337,361,0,49.48,0,2018,0,0.333,,0
C02156,Prepaid,2022-05-12,2023-06-24,90,98,91,0,,0,6790,0,0.0,,0
C01098,Prepaid,2017-04-18,2023-04-24,8,7,0,7,,0,5680,1,0.333,,1
C03810,Prepaid,2015-11-08,2023-06-30,30,27,28,0,,0,1050,0,0.278,,0
C02234,Prepaid,2020-11-05,2023-06-29,100,106,99,1,,0,3000,0,0.173,,0
C03096,Prepaid,2018-05-29,2023-06-25,30,34,31,1,,0,1890,0,0.235,,0
C00596,Postpaid,2018-07-24,2023-06-06,1282,1209,1216,0,123.3,0,9100,0,0.136,,0
C00131,Prepaid,2014-11-11,2023-05-25,39,22,1,1,,0,1700,0,0.342,,1
C00046,Postpaid,2014-03-05,2023-06-09,247,263,280,1,51.8,0,6020,0,0.167,,0
C02124,Postpaid,2020-12-26,2023-06-21,181,170,164,0,39.91,0,3000,0,0.173,2025-03-22,0
C04339,PREPAID,2020-10-13,2023-06-07,10,11,10,0,,0,1180,0,0.0,,0
C04845,Prepaid,2015-02-28,2023-06-12,29,32,32,0,,0,5040,0,0.0,,0
C01880,Postpaid,2017-01-05,2023-06-17,94,86,93,0,29.42,1,1700,0,0.342,,0
C00587,Postpaid,2018-09-08,2023-06-11,191,209,199,3,34.6,1,1300,0,0.26,,0
C01037,Postpaid,2018-04-21,2023-06-06,103,107,98,1,,0,4180,0,0.167,,0
C02547,Prepaid,2021-04-15,2023-05-26,32,31,0,2,,0,6960,0,0.359,,1
C00271,Postpaid,2019-01-30,2023-06-17,63,68,67,0,26.6,1,3200,1,0.222,,0
C03905,Postpaid,2019-02-06,2023-06-14,87,79,74,0,26.8,1,3500,0,0.0,,0
C00583,Postpaid,2019-07-06,2023-06-07,113,118,120,0,37.09,0,2670,0,0.086,,0
C03171,Postpaid,2022-04-22,2023-06-03,84,93,88,2,26.83,0,3130,0,0.1,,0
C01547,Postpaid,2022-11-06,2023-06-02,586,589,606,1,67.63,0,2670,0,0.086,,0
C04708,Prepaid,2017-04-19,2023-06-17,80,83,83,2,,0,3000,0,0.173,,0
C03880,Postpaid,2015-04-01,2023-05-14,127,129,141,0,42.17,1,3250,0,0.062,,0
C02854,Postpaid,2017-03-14,2023-06-22,74,72,73,0,29.8,0,3450,0,0.214,,0
C00323,Postpaid,2018-01-01,2023-06-07,113,115,106,0,40.58,0,7500,0,0.079,,0
C02579,Postpaid,2019-02-15,2023-05-10,81,68,2,4,33.9,1,3000,1,0.173,2023-06-30,1
C04540,Postpaid,2014-10-17,2023-06-12,397,440,445,0,49.82,0,2590,0,0.0,2024-09-21,0
