SalePrice;OverallQuality;LivingArea;GarageCars;GarageArea;YearBuilt;LotArea;Neighborhood;HouseStyle;HasPool;PoolQuality
155860;3;878;1;165;1992;10139;B;1Story;No;nan
228890;3;593;3;620;1991;;B;Townhouse;No;nan
270686;1;2468;2;398;1952;7048;F;1Story;No;nan
422472;5;1871;2;483;1950;6459;E;Duplex;No;nan
449120;10;1594;2;428;2004;8783;B;1Story;No;nan
435346;7;2181;1;;1964;11739;A;1Story;No;nan
295968;10;1084;0;0;1996;12654;D;1Story;No;nan
316989;9;1447;0;-59;1995;8741;B;1Story;No;nan
458477;7;1978;1;193;2007;3345;C;1Story;No;nan
554904;9;2555;2;445;2020;6457;F;1Story;No;nan
355978;8;916;2;461;1988;6786;C;1Story;No;nan
455062;2;2140;3;621;1952;9102;F;1Story;No;nan
299792;1;1691;3;683;1979;8169;C;2Story;No;nan
328989;7;1582;2;473;1984;5935;D;Duplex;No;nan
339755;7;1496;1;194;2006;4245;E;Duplex;No;nan
428675;8;808;2;519;;5394;C;2Story;No;nan
387905;5;1982;3;639;1999;5284;D;Townhouse;No;nan
259214;3;1109;2;400;2011;12865;D;1Story;Yes;Gd
288436;8;960;1;159;2001;5691;E;1Story;No;nan
272752;6;1943;0;49;1963;8180;A;1Story;No;nan
304540;3;1895;1;;1984;;B;2Story;No;nan
182723;1;1540;1;201;1977;8585;C;Duplex;No;nan
255118;3;2040;3;601;2007;4742;F;2Story;No;nan
365366;5;2213;1;204;1979;10955;F;1Story;No;nan
298409;3;2154;1;315;1956;9063;A;2Story;No;nan
200238;1;1236;3;574;1988;1444;A;1Story;Yes;Ex
411344;5;2007;3;635;2018;11737;F;1Story;No;nan
448202;10;1606;0;72;1984;10620;B;2Story;No;nan
444388;7;2363;2;490;2001;9016;B;1Story;No;nan
330075;7;1438;1;197;1963;12904;A;1Story;No;nan
506382;9;1322;3;668;2012;10551;B;2Story;No;nan
385177;10;1193;0;19;1985;11384;D;2Story;Yes;Ex
422896;10;1595;2;445;1973;11109;C;1Story;No;nan
328889;3;1733;3;731;1989;10271;C;1Story;Yes;TA
270438;7;1743;2;454;1978;2627;F;Townhouse;No;nan
249131;1;1675;2;485;2002;2986;A;1Story;No;nan
290329;4;1836;1;227;1971;10553;A;1Story;No;nan
419761;4;1389;1;139;2021;;E;1Story;No;nan
235398;5;1064;3;612;1964;5884;E;2Story;No;nan
351191;7;1020;2;401;2018;4659;B;1Story;No;nan
322307;7;1988;3;650;2013;8788;B;1Story;No;nan
518097;4;1735;3;743;1953;3644;B;1Story;No;nan
279515;7;572;2;454;1967;7493;D;1Story;No;nan
257394;3;2048;3;656;1991;6935;A;1Story;No;nan
276113;6;2440;2;;1979;7327;C;2Story;No;nan
259163;2;1142;2;382;1964;13653;A;Townhouse;No;nan
492557;10;1668;2;420;2019;6098;E;Townhouse;No;nan
405281;9;1263;2;415;2004;8160;C;2Story;No;nan
262609;5;1814;0;16;2002;4064;C;2Story;No;nan
460728;6;917;2;476;1965;10821;A;Duplex;No;nan
350809;4;1464;1;239;2022;;A;Duplex;No;nan
462457;10;1991;1;239;1983;11535;D;Duplex;No;nan
384323;7;2118;1;206;1976;1000;E;1Story;No;nan
412122;9;1713;2;453;1962;7826;D;1Story;No;nan
401865;7;1330;1;186;1976;8396;D;Townhouse;No;nan
132013;1;704;0;27;2022;10735;A;Townhouse;No;nan
267303;1;1121;3;640;2018;6074;D;2Story;No;nan
576876;9;1265;2;395;1980;10360;B;Townhouse;Yes;Gd
440374;9;1151;1;222;1952;6418;A;2Story;No;nan
313794;4;1530;0;-77;1979;8281;E;2Story;No;nan
365882;9;1329;3;719;1970;10766;E;1Story;No;nan
252860;3;1586;0;32;1955;5211;D;2Story;No;nan
445936;7;2101;1;233;;10222;E;2Story;No;nan
276706;6;1297;0;-65;1991;9005;F;Townhouse;No;nan
430070;8;809;3;632;2011;6999;A;1Story;Yes;TA
436490;9;1149;1;222;1981;5995;F;Duplex;No;nan
298519;5;1792;3;649;1988;1698;D;Duplex;No;nan
200057;1;1839;0;-68;2013;7759;E;1Story;No;nan
236049;3;1703;2;387;1979;7004;D;1Story;No;nan
283200;10;2150;2;429;2012;9917;C;2Story;No;nan
356281;8;1407;2;389;1980;9614;D;1Story;No;nan
525674;6;2526;2;495;1989;11210;B;2Story;No;nan
270554;8;1909;3;680;1982;11320;F;1Story;No;nan
325561;9;400;2;408;2012;17467;A;1Story;No;nan
327833;4;2400;3;707;1974;9541;B;1Story;No;nan
217359;1;1117;1;;1985;5419;A;1Story;No;nan
227810;1;983;2;452;1973;10479;B;1Story;No;nan
459410;10;1762;3;658;2007;12818;B;Townhouse;No;nan
154670;4;631;2;428;1988;9425;A;1Story;No;nan
333294;7;1152;2;418;1995;1627;C;Townhouse;No;nan
424742;2;2279;2;387;1959;9666;C;Townhouse;No;nan
337146;3;1778;3;721;1981;6110;A;Townhouse;No;nan
194827;1;1906;0;;1985;4034;B;1Story;No;nan
223588;5;1172;2;441;1977;8560;F;2Story;No;nan
150168;1;731;2;404;1965;3423;A;1Story;No;nan
440617;8;1853;1;210;1965;11069;B;1Story;No;nan
216429;1;1965;0;114;1967;10193;A;Duplex;No;nan
345462;1;1942;3;631;1957;7740;A;1Story;No;nan
229200;2;1605;1;278;2019;6350;D;Townhouse;No;nan
143719;2;1016;2;439;1950;7448;C;2Story;No;nan
324820;6;2719;1;;2011;4967;C;1Story;No;nan
438280;7;1740;1;;1987;7769;B;1Story;No;nan
219006;5;1413;2;451;1994;1000;D;2Story;No;nan
189189;1;1415;0;-14;;8266;E;2Story;No;nan
189634;1;1575;0;-7;1950;8343;B;2Story;No;nan
242018;3;2035;1;214;1981;10535;A;1Story;No;nan
232894;2;1595;2;515;1957;8899;A;1Story;No;nan
273576;5;1929;3;601;1989;10932;D;1Story;No;nan
431602;10;1576;1;149;2005;9641;A;1Story;No;nan
303083;6;1444;3;592;2012;11110;C;1Story;Yes;TA
463715;7;1821;1;184;1985;15864;B;1Story;No;nan
373565;4;1802;1;248;2006;9260;B;1Story;Yes;Gd
282255;7;1415;2;470;1994;8552;A;2Story;No;nan
357821;8;1125;2;416;1951;11561;B;2Story;No;nan
250249;1;1671;3;659;2017;6595;A;1Story;No;nan
330344;6;1539;3;615;1999;7642;C;2Story;No;nan
313337;8;1223;0;-41;1978;9263;C;2Story;No;nan
280317;5;1079;2;463;1959;8217;C;2Story;No;nan
226204;4;1705;1;262;1976;8204;D;2Story;No;nan
162435;2;1775;1;201;1964;10699;D;1Story;No;nan
179168;6;1320;0;65;2009;2912;D;1Story;No;nan
196030;6;1210;2;479;1980;14100;F;1Story;No;nan
199326;1;1085;1;284;1970;9458;B;1Story;No;nan
598123;9;1691;0;-12;2009;6799;B;2Story;No;nan
258057;6;1098;0;61;2007;12884;D;Duplex;No;nan
332159;3;2621;1;307;1990;8311;C;1Story;No;nan
228413;4;1295;1;203;1995;8390;C;2Story;No;nan
184358;4;400;3;654;1994;7356;A;Duplex;No;nan
194760;3;1485;2;402;1975;12403;C;1Story;No;nan
285136;10;1463;3;614;2000;7972;F;Townhouse;No;nan
287236;3;2056;0;-45;1985;6325;B;1Story;No;nan
364186;3;1644;1;188;2001;10996;F;Townhouse;No;nan
211528;4;1083;3;671;2000;11549;C;1Story;No;nan
354470;7;1357;0;;1952;;A;1Story;No;nan
233483;4;1664;2;450;1963;9901;C;2Story;No;nan
342140;9;418;1;231;1998;11439;C;Townhouse;No;nan
190472;1;2169;3;641;1950;7222;D;1Story;No;nan
246707;8;1084;2;437;2006;11077;C;2Story;No;nan
353406;7;2209;3;639;1966;10228;C;2Story;Yes;Gd
217218;2;1696;0;-12;1999;9591;A;1Story;No;nan
304182;8;1815;2;408;1963;3329;B;1Story;No;nan
281796;1;2075;3;663;2008;6835;B;1Story;No;nan
308588;9;1787;2;416;1952;7863;F;1Story;No;nan
496385;9;1836;0;-47;1989;9595;B;2Story;No;nan
240287;2;1418;2;464;2015;15202;E;Townhouse;No;nan
332201;7;1686;3;685;1983;10578;B;2Story;No;nan
340920;10;1206;0;44;1958;5570;A;Townhouse;No;nan
190422;3;1328;1;179;1970;6559;B;1Story;No;nan
433014;7;2482;3;641;1974;12170;B;1Story;No;nan
360775;10;1096;3;669;1993;6427;F;Duplex;No;nan
464205;9;1577;0;-20;1974;;D;Duplex;No;nan
167719;4;1557;0;23;1958;8352;F;1Story;No;nan
284257;1;1345;1;240;2011;;E;1Story;No;nan
225767;2;1757;3;679;1975;6473;C;Duplex;No;nan
294224;1;1795;0;58;2006;1000;D;1Story;No;nan
284985;5;1037;1;246;1986;9619;D;1Story;No;nan
354065;5;1551;1;;;4844;D;2Story;No;nan
313881;7;959;0;-8;;;B;Townhouse;No;nan
441261;9;1894;3;655;;8743;C;2Story;No;nan
357803;9;1588;2;397;1975;11089;C;2Story;Yes;TA
293663;3;1541;2;369;1969;2910;A;1Story;No;nan
254784;3;1830;1;239;1958;11010;C;2Story;No;nan
250448;3;1362;2;489;1978;5290;E;1Story;No;nan
315264;4;1957;2;427;1980;9947;C;Townhouse;No;nan
259534;8;1026;0;63;1968;9737;C;1Story;No;nan
428695;6;2206;1;213;1969;7380;B;2Story;No;nan
397290;8;1225;3;582;1976;8090;E;Duplex;No;nan
126257;1;652;1;257;1993;6811;C;1Story;No;nan
363781;8;1336;0;-19;1984;8791;F;Townhouse;No;nan
291414;4;1279;2;480;2020;8764;F;1Story;No;nan
116165;1;1332;3;609;1971;5228;F;1Story;No;nan
317781;8;1616;1;236;1964;3927;A;1Story;No;nan
264942;4;2049;2;408;1962;11025;B;Duplex;No;nan
236704;6;1404;1;228;1953;8612;F;Duplex;No;nan
450456;8;1154;3;691;2005;10610;E;1Story;No;nan
167425;4;937;1;;1972;5989;F;1Story;No;nan
180848;3;1266;1;223;1983;5527;C;Townhouse;No;nan
336025;9;556;1;165;1966;4964;C;1Story;No;nan
204101;3;1137;2;469;1977;7458;A;2Story;No;nan
536431;9;2122;3;701;1963;8697;E;2Story;No;nan
202290;2;1088;3;618;1983;6369;D;Duplex;No;nan
610863;2;1814;2;404;2006;12694;A;2Story;No;nan
134302;2;887;2;483;;6074;B;1Story;No;nan
317583;6;2386;2;;2015;8746;C;Townhouse;No;nan
399810;3;2419;0;-35;1986;5351;D;1Story;No;nan
830754;9;1796;1;231;2017;5981;A;1Story;No;nan
395126;4;2496;1;194;1975;7741;B;1Story;Yes;Ex
227635;1;1678;3;666;2010;5502;B;Townhouse;No;nan
329276;4;1884;1;203;2016;8268;B;2Story;No;nan
198222;1;2131;0;-13;2001;9321;F;1Story;No;nan
196983;5;1590;2;484;1967;11280;D;2Story;No;nan
219681;4;724;3;561;2002;4760;D;1Story;No;nan
453880;8;1894;3;682;2012;8504;E;Townhouse;No;nan
251803;8;1264;1;258;2002;7814;C;1Story;No;nan
321325;7;1301;3;635;1976;2455;E;2Story;Yes;Ex
214376;3;1649;2;;1980;4614;F;2Story;No;nan
273113;1;1783;3;622;1950;9425;D;1Story;No;nan
223488;1;1575;2;;1955;3942;C;Duplex;No;nan
246479;3;1818;0;-31;1960;7780;D;1Story;No;nan
325370;6;1147;0;38;1983;1633;F;2Story;No;nan
423932;7;1479;2;370;2012;7691;A;2Story;No;nan
400375;6;1925;1;286;2002;1839;B;2Story;No;nan
476880;6;2386;3;648;1967;;F;1Story;Yes;Gd
495520;6;2563;1;245;1970;6687;F;Townhouse;No;nan
345253;3;1716;3;681;1968;8369;C;1Story;No;nan
304485;6;1920;0;6;1953;7242;C;2Story;No;nan
432307;8;2491;0;-24;1978;4292;B;2Story;No;nan
167209;2;1165;0;50;1974;4348;C;Townhouse;No;nan
264785;5;1815;3;639;2005;3158;F;2Story;No;nan
196719;1;1884;0;-29;2012;8619;A;1Story;No;nan
235279;1;2224;0;35;1976;8487;C;Duplex;No;nan
339109;5;931;0;6;2009;10008;F;1Story;No;nan
223457;3;1030;0;54;1998;6500;B;1Story;No;nan
312302;4;1511;1;217;2014;2797;E;Townhouse;No;nan
318285;3;1689;0;-26;1987;7052;C;2Story;No;nan
274646;1;2061;0;11;2001;8033;E;1Story;Yes;Gd
240726;1;1759;1;202;1950;;F;2Story;No;nan
309134;5;1424;1;195;1989;4790;C;1Story;No;nan
376402;6;1708;3;693;1970;9353;E;1Story;No;nan
305154;3;1651;2;513;1964;8302;F;1Story;No;nan
312185;9;2373;0;-10;1999;11399;F;2Story;No;nan
242898;5;1583;0;-39;1997;13166;C;2Story;No;nan
320226;8;1308;0;;1981;3492;C;2Story;No;nan
351041;1;1725;3;681;1998;6743;B;1Story;No;nan
337022;5;1599;0;10;2017;8371;B;2Story;No;nan
209289;3;715;2;488;1994;9091;C;1Story;No;nan
292633;1;1492;1;247;1981;11048;B;2Story;No;nan
218499;4;1450;3;616;1953;10186;D;Duplex;No;nan
379594;5;1228;1;200;2014;11415;C;1Story;No;nan
295871;7;2018;0;;2020;8184;E;2Story;No;nan
168365;1;1107;0;46;2022;6114;E;Townhouse;No;nan
327451;3;1728;0;-80;2014;13850;B;1Story;No;nan
161360;2;1426;2;389;1967;8460;C;2Story;No;nan
352138;9;1554;2;420;2003;7274;E;2Story;No;nan
402787;10;1706;3;683;1996;4783;B;1Story;No;nan
296755;6;846;1;199;1955;8478;A;2Story;No;nan
494251;10;1596;0;-15;2015;11013;E;2Story;No;nan
245078;3;2644;0;-14;1958;6499;A;1Story;No;nan
226384;8;722;0;7;2017;7600;E;1Story;No;nan
667867;8;1471;0;-49;1972;8747;F;Townhouse;No;nan
266498;2;2062;2;402;1992;9417;C;2Story;No;nan
224144;6;1651;1;;2000;7220;E;1Story;No;nan
302768;7;1844;1;236;2021;;C;1Story;No;nan
141322;2;400;3;690;1974;6468;E;2Story;No;nan
455736;10;1799;2;442;1984;4680;E;1Story;No;nan
307193;2;1119;0;;1966;5689;A;1Story;No;nan
518630;10;1655;1;238;1967;5609;C;2Story;Yes;TA
151746;1;1485;1;249;1976;3373;D;2Story;No;nan
418457;8;2639;2;474;1964;;A;1Story;No;nan
252753;1;1773;3;655;2018;9079;F;1Story;No;nan
355443;9;1444;3;698;1964;8427;C;1Story;No;nan
306478;6;745;0;-99;1991;11914;C;1Story;No;nan
605741;7;1561;3;696;1983;10154;B;1Story;No;nan
429629;10;1912;1;203;1997;5631;D;1Story;No;nan
359726;7;1460;3;;1957;11520;E;1Story;No;nan
324951;10;1247;0;-26;1959;;C;1Story;No;nan
260344;3;1214;1;167;1954;4646;E;Townhouse;No;nan
216864;2;1768;3;674;1997;10708;D;1Story;No;nan
314244;9;1880;3;600;1975;6598;B;1Story;No;nan
272580;8;2181;2;424;1972;10991;C;1Story;No;nan
439284;10;1003;0;-32;2011;6986;A;1Story;No;nan
537654;7;1763;3;653;1962;6400;A;Duplex;Yes;Ex
499253;9;1439;2;472;1958;6709;A;1Story;No;nan
270977;4;1454;1;200;1969;5083;F;Duplex;No;nan
278478;4;1701;2;453;2006;3559;F;1Story;No;nan
267134;1;1704;2;470;1973;1000;A;Duplex;No;nan
337039;8;1764;3;;1982;4836;B;1Story;No;nan
277917;3;971;3;636;1969;15892;A;1Story;No;nan
422477;7;1125;3;;2009;9435;E;1Story;No;nan
243430;2;2243;2;;1997;13593;C;1Story;Yes;Ex
213538;2;1390;1;240;2013;7045;D;2Story;No;nan
229801;7;1653;0;20;1979;6595;C;1Story;No;nan
296213;6;2027;2;392;2022;13150;D;2Story;No;nan
344854;3;1732;3;630;1966;9127;B;1Story;No;nan
398703;9;1773;0;15;1963;5134;A;1Story;No;nan
355132;10;1947;1;137;1968;9899;A;1Story;No;nan
211332;6;442;0;-8;2020;11753;C;2Story;No;nan
353361;10;1255;3;;2008;3716;F;1Story;No;nan
524680;10;1734;2;484;2016;;B;1Story;No;nan
330491;6;2194;2;454;1993;3915;B;1Story;No;nan
160176;1;1533;3;708;1981;11590;F;Duplex;No;nan
204055;4;1078;2;438;1960;8692;A;2Story;No;nan
309780;10;1091;3;655;1951;;A;1Story;No;nan
434892;6;1942;2;428;2017;7348;E;1Story;No;nan
220708;6;1391;2;420;1966;2655;D;1Story;No;nan
177213;5;1496;2;547;;6676;C;1Story;No;nan
175520;1;1808;1;252;1995;10790;E;2Story;No;nan
254466;8;400;1;177;1953;13981;D;1Story;No;nan
313366;5;2500;3;;1987;8847;A;1Story;No;nan
232392;5;1134;1;204;2012;5941;D;2Story;No;nan
429315;7;1621;3;673;1978;9607;D;1Story;Yes;TA
208540;4;648;0;38;1968;10520;F;1Story;No;nan
347009;6;1289;0;-62;1978;8398;F;1Story;No;nan
362813;4;2122;1;187;1984;8214;C;1Story;No;nan
162656;3;542;0;66;2019;8641;C;Duplex;No;nan
590500;7;2063;0;-9;1972;8131;A;2Story;No;nan
257877;8;1363;2;480;1995;8893;A;1Story;No;nan
291204;4;1744;2;422;1993;13483;C;1Story;No;nan
237899;2;1829;3;;1997;1900;D;1Story;No;nan
430969;10;1721;0;71;2001;7285;C;1Story;No;nan
312060;3;1068;3;678;;5203;C;Townhouse;No;nan
221892;1;1318;3;646;2004;11542;E;1Story;No;nan
355833;8;769;0;-27;2015;7577;E;Duplex;Yes;Gd
230451;3;1746;1;196;1989;9679;D;2Story;No;nan
656038;10;2351;0;50;1980;12282;A;Duplex;No;nan
302219;7;588;2;471;1997;4757;E;2Story;No;nan
381836;10;1119;0;-46;2010;6417;F;2Story;No;nan
244571;5;1409;1;223;2001;11972;A;2Story;No;nan
356924;10;1587;3;657;1987;4637;C;Duplex;No;nan
325607;5;1940;3;673;1985;6519;F;1Story;No;nan
411316;7;1424;2;416;2004;3199;C;Townhouse;No;nan
380099;9;1342;2;484;1962;12090;C;2Story;No;nan
465651;5;2052;2;440;1986;6256;B;1Story;No;nan
340393;1;1831;3;;1996;9053;C;Townhouse;No;nan
527894;10;1769;2;409;2020;10028;C;Duplex;No;nan
398057;10;1556;0;-29;1971;5590;A;2Story;No;nan
248169;1;1992;3;766;1988;2288;C;1Story;No;nan
153322;2;1172;1;292;2007;7342;B;Townhouse;No;nan
265486;6;1104;3;657;1979;7293;D;2Story;No;nan
420031;9;1873;0;61;1967;7818;F;2Story;No;nan
185946;8;687;0;49;1967;7835;C;Townhouse;No;nan
248351;5;1546;2;;1988;6504;D;1Story;No;nan
164565;1;1342;3;631;1975;6387;C;1Story;No;nan
334304;7;797;3;687;2020;8893;A;2Story;No;nan
222566;5;1034;3;670;1956;5528;F;1Story;No;nan
400028;6;1446;1;204;2018;7714;A;2Story;No;nan
270786;7;2017;2;469;2014;6311;A;1Story;No;nan
249043;3;1174;0;-58;1995;8887;C;1Story;No;nan
291348;10;2107;0;5;1967;11326;D;1Story;No;nan
300345;3;1532;2;390;1962;11448;C;1Story;No;nan
273317;5;2155;0;-48;1974;11868;B;1Story;No;nan
225945;6;1198;0;;1957;;E;1Story;No;nan
328255;9;1476;2;455;1981;7250;C;1Story;No;nan
210171;5;1684;0;-27;1966;4193;B;2Story;No;nan
218985;1;1410;3;611;1997;6972;C;Duplex;No;nan
373927;4;1977;1;239;2012;7079;B;1Story;No;nan
276328;5;400;2;;1989;6149;C;2Story;No;nan
482879;10;2711;1;246;1964;;D;1Story;Yes;Gd
595636;10;1929;0;72;1955;2907;E;1Story;No;nan
272949;5;1413;0;56;2012;3974;B;Townhouse;No;nan
402249;7;1224;3;;1957;8134;B;1Story;No;nan
221790;4;1067;2;465;1981;;A;1Story;No;nan
204131;1;1823;0;-4;1994;9449;B;1Story;No;nan
434018;5;1997;2;482;2001;7223;A;Townhouse;No;nan
316262;7;1419;2;436;1962;8035;B;1Story;No;nan
409336;10;2053;2;408;1973;11752;A;2Story;No;nan
450891;10;1046;2;495;1989;7841;C;1Story;No;nan
207786;6;958;2;453;1963;6104;C;1Story;No;nan
404911;5;2407;1;193;2019;4427;A;Duplex;No;nan
305564;4;1796;3;640;2011;10392;C;1Story;No;nan
348346;2;2198;2;413;2010;2890;B;2Story;No;nan
265527;4;1073;1;;1950;5485;D;2Story;No;nan
354368;10;1038;0;-19;2015;9256;C;1Story;No;nan
448184;10;1321;2;455;1981;2280;A;1Story;No;nan
217506;3;1088;0;3;1962;6157;B;2Story;No;nan
641750;10;1853;2;422;1982;8388;B;1Story;No;nan
267062;1;1124;1;280;1981;6850;E;1Story;No;nan
373452;8;914;1;140;2005;5052;F;1Story;No;nan
320647;5;1571;1;232;1973;6220;A;2Story;No;nan
167481;4;855;3;654;1953;10451;D;Duplex;No;nan
242716;8;600;0;-39;1972;13494;B;Duplex;No;nan
464046;7;1567;3;675;1978;8418;A;1Story;No;nan
155485;2;625;2;;1970;2035;A;2Story;No;nan
536926;1;1888;0;50;1979;9704;E;1Story;No;nan
165798;4;802;1;255;1969;6811;C;1Story;No;nan
225284;8;400;0;76;1965;;F;Duplex;No;nan
276126;2;1353;1;201;2016;5599;C;2Story;No;nan
325955;3;1572;3;716;;5727;B;2Story;No;nan
213174;1;1746;3;613;2007;3767;E;1Story;No;nan
224107;1;1586;1;216;1993;7811;F;Duplex;No;nan
244158;3;970;1;201;1974;13484;E;Townhouse;No;nan
305404;5;1857;2;464;1972;4702;D;1Story;No;nan
480549;3;1980;3;683;2008;13392;B;1Story;No;nan
122470;1;897;3;624;1950;8624;A;1Story;No;nan
183247;1;1409;2;466;1964;7721;B;1Story;No;nan
417665;8;1363;3;645;2001;7034;C;Duplex;No;nan
359825;10;1610;1;187;2007;5582;F;1Story;No;nan
173728;2;1398;0;0;1990;8876;D;2Story;No;nan
274256;3;1466;0;-59;1993;9566;E;2Story;No;nan
347048;2;1821;3;697;;1000;B;2Story;No;nan
173106;3;943;2;438;2017;15629;D;1Story;No;nan
412299;7;1869;1;219;1956;2567;E;Townhouse;No;nan
264447;1;2071;0;-3;1995;6433;C;1Story;No;nan
407526;10;2317;1;286;1958;1000;C;2Story;No;nan
293791;8;428;3;721;1982;7196;D;2Story;No;nan
401343;10;1409;3;714;1982;6616;C;1Story;No;nan
320975;10;517;0;-3;1953;6465;F;Townhouse;Yes;Gd
292163;10;400;3;;2014;8913;C;1Story;No;nan
322020;2;1572;2;439;1983;7269;B;2Story;No;nan
364088;3;1300;3;;2013;9615;C;2Story;No;nan
568727;9;1650;3;693;1974;4288;B;2Story;Yes;Ex
269850;7;1743;3;672;2004;8232;C;1Story;No;nan
428899;4;2124;1;179;1958;6105;A;2Story;No;nan
339970;10;1527;1;199;1966;6889;F;2Story;No;nan
482639;5;2962;0;-25;1970;8811;E;1Story;No;nan
